title,author,price,format,link
Bloodguard (03/05/2024),by Cecy Robson,"
$26.99","
Hardcover",https://www.barnesandnoble.com/w/bloodguard-cecy-robson/1142008156;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781649374059
Vengeance of the Pirate Queen (11/07/2023),by Tricia Levenseller,"
$22.49","
Hardcover",https://www.barnesandnoble.com/w/vengeance-of-the-pirate-queen-tricia-levenseller/1141804962;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781250864970
It Starts with Us: A Novel (10/18/2022),by Colleen Hoover,"
$17.99","
Paperback",https://www.barnesandnoble.com/w/it-starts-with-us-colleen-hoover/1140993653;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781668001226
The Democrat Party Hates America (09/19/2023),by Mark R. Levin,"
$30.00","
Hardcover",https://www.barnesandnoble.com/w/the-democrat-party-hates-america-mark-r-levin/1143680612;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781501183157
Foxglove (B&N Exclusive Edition) (08/22/2023),by Adalyn Grace,"
$14.99","
Hardcover",https://www.barnesandnoble.com/w/foxglove-adalyn-grace/1142480492;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9780316565257
Empire of Storms (Throne of Glass Series #5) (02/14/2023),by Sarah J. Maas,"
$19.00","
Paperback",https://www.barnesandnoble.com/w/empire-of-storms-maas-sarah-j/1141902157;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781639731039
Tower of Dawn (Throne of Glass Series #6) (02/14/2023),by Sarah J. Maas,"
$19.00","
Paperback",https://www.barnesandnoble.com/w/tower-of-dawn-maas-sarah-j/1141902158;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781639731053
A Soul of Ash and Blood: A Blood and Ash Novel (B&N Exclusive Edition) (07/18/2023),by Jennifer L. Armentrout,"
$27.19","
Hardcover",https://www.barnesandnoble.com/w/a-soul-of-ash-and-blood-jennifer-l-armentrout/1142749250;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781957568577
Hooked (09/07/2021),by Emily McIntire,"
$17.99","
Paperback",https://www.barnesandnoble.com/w/hooked-emily-mcintire/1140182384;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781737508373
Flawless (Special Edition) (12/02/2022),by Elsie Silver,"
$17.09","
Paperback",https://www.barnesandnoble.com/w/flawless-elsie-silver/1142873741;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781959285854
Murtagh: The World of Eragon (Signed Book) (11/07/2023),by Christopher Paolini,"
$29.99","
Hardcover",https://www.barnesandnoble.com/w/murtagh-christopher-paolini/1143181026;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9780593805459
The Last One (02/06/2024),by Rachel Howzell Hall,"
$26.99","
Hardcover",https://www.barnesandnoble.com/w/the-last-one-rachel-howzell-hall/1142856551;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781649374400
Ugly Love (08/05/2014),by Colleen Hoover,"
$14.49","
Paperback",https://www.barnesandnoble.com/w/ugly-love-colleen-hoover/1117703928;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781476753188
Nineteen Claws and a Black Bird (B&N Exclusive Edition) (06/20/2023),"by Agustina Bazterrica, Sarah Moses (Translator)","
$16.19","
Paperback",https://www.barnesandnoble.com/w/nineteen-claws-and-a-black-bird-agustina-bazterrica/1142483746;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781668033869
Cross Down: An Alex Cross and John Sampson Thriller (06/05/2023),"by James Patterson, Brendan DuBois","
$21.00","
Hardcover",https://www.barnesandnoble.com/w/cross-down-james-patterson/1142509242;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9780316404594
Immortal Longings (B&N Exclusive Edition) (07/18/2023),by Chloe Gong,"
$24.64","
Hardcover",https://www.barnesandnoble.com/w/immortal-longings-chloe-gong/1142483531;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781668032121
My Fault (06/06/2023),by Mercedes Ron,"
$12.99","
Paperback",https://www.barnesandnoble.com/w/my-fault-mercedes-ron/1142959267;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781728290737
If He Had Been with Me (11/01/2019),by Laura Nowlin,"
$10.99","
Paperback",https://www.barnesandnoble.com/w/if-he-had-been-with-me-laura-nowlin/1112689781;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9781728205489
Kingdom of Ash (Throne of Glass Series #7) (02/14/2023),by Sarah J. Maas,"
$21.00","
Paperback",https://www.barnesandnoble.com/w/kingdom-of-ash-maas-sarah-j/1141902159;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9781639731077
Things We Left Behind (B&N Exclusive Edition) (09/05/2023),by Lucy Score,"
$17.09","
Paperback",https://www.barnesandnoble.com/w/things-we-left-behind-lucy-score/1143065041;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9781728295619
